track_name,artist_name,genre,artist_country,release_year,release_month,streams,popularity,duration_ms,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mood,duration_min
Senorita,Vishal-Shekhar,Bollywood,IN,2018,4,1921940,79,226064,0.548,0.353,0.37,95.6,0.178,-2.71,0.101,Motivational,3.77
Chaiyya Chaiyya,A.R. Rahman,Bollywood,IN,2021,11,9310033,68,236581,0.424,0.837,0.833,116.0,0.251,-11.35,0.192,Hype,3.94
Hotline Bling,Drake,Hip-Hop,CA,2019,4,4000740,97,195729,0.627,0.396,0.478,136.7,0.215,-9.52,0.47,Chill,3.26
Love Galore,SZA,R&B,US,2022,7,2695888,90,210858,0.742,0.569,0.353,94.2,0.221,-10.56,0.084,Motivational,3.51
Happier Than Ever,Billie Eilish,Alt-Pop,US,2022,8,3981457,93,189947,0.889,0.564,0.529,99.8,0.181,-10.41,0.181,Melancholic,3.17
Blinding Lights,The Weeknd,R&B/Pop,CA,2019,11,3370096,85,225849,0.87,0.75,0.177,98.1,0.1,-8.02,0.067,Energetic,3.76
Golden,Harry Styles,Pop,GB,2018,7,8831164,83,233149,0.268,0.587,0.365,104.9,0.314,-8.97,0.186,Sad,3.89
Nayagan,Ilaiyaraaja,Bollywood,IN,2022,5,1509856,85,199454,0.422,0.926,0.154,131.9,0.643,-6.09,0.295,Happy,3.32
Kabira,Pritam,Bollywood,IN,2020,11,5284017,78,241126,0.405,0.387,0.853,124.2,0.029,-6.52,0.044,Motivational,4.02
Raabta,Pritam,Bollywood,IN,2021,3,4482255,75,231772,0.655,0.608,0.355,119.2,0.501,-7.97,0.088,Hype,3.86
Channa Mereya,Arijit Singh,Bollywood,IN,2022,3,1968835,77,199926,0.884,0.446,0.646,129.4,0.095,-7.29,0.05,Melancholic,3.33
Dola Re Dola,Shreya Ghoshal,Bollywood,IN,2022,4,2638542,95,251657,0.154,0.498,0.261,146.0,0.219,-7.15,0.178,Energetic,4.19
Don't Start Now,Dua Lipa,Pop,GB,2022,9,8026975,91,181787,0.626,0.644,0.102,90.7,0.286,-5.38,0.501,Happy,3.03
Agni Natchathiram,Ilaiyaraaja,Bollywood,IN,2021,1,4419004,82,199928,0.72,0.301,0.559,100.9,0.052,-9.14,0.179,Melancholic,3.33
Physical,Dua Lipa,Pop,GB,2019,1,2751743,93,225308,0.507,0.503,0.358,130.6,0.045,-6.85,0.318,Romantic,3.76
Kill Bill,SZA,R&B,US,2018,12,7219334,70,199434,0.666,0.673,0.326,83.5,0.102,-4.64,0.162,Hype,3.32
Cruel Summer,Taylor Swift,Pop,US,2019,3,2092916,97,208262,0.698,0.663,0.662,87.1,0.317,-9.18,0.101,Hype,3.47
Laung Gawacha,Nucleya,Electronic,IN,2020,9,7393616,69,236032,0.654,0.762,0.74,150.0,0.105,-11.02,0.045,Sad,3.93
Rang De Basanti,A.R. Rahman,Bollywood,IN,2023,12,2392030,83,230478,0.738,0.854,0.446,106.6,0.227,-3.34,0.143,Romantic,3.84
Tujh Mein Rab Dikhta Hai,Shreya Ghoshal,Bollywood,IN,2023,11,3416299,77,188843,0.352,0.823,0.397,125.4,0.139,-4.41,0.061,Motivational,3.15
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2021,2,592149,88,183893,0.704,0.277,0.568,129.1,0.267,-5.23,0.127,Romantic,3.06
bad guy,Billie Eilish,Alt-Pop,US,2020,1,6326433,92,203228,0.61,0.493,0.721,152.7,0.632,-6.89,0.131,Romantic,3.39
Good Days,SZA,R&B,US,2018,2,1416960,75,238950,0.563,0.699,0.822,80.6,0.354,-15.2,0.158,Happy,3.98
bad guy,Billie Eilish,Alt-Pop,US,2018,6,11482403,97,203327,0.272,0.432,0.737,149.8,0.343,-5.02,0.182,Melancholic,3.39
Butter,BTS,K-Pop,KR,2020,11,11404528,100,224742,0.518,0.428,0.182,111.9,0.303,-15.98,0.346,Hype,3.75
Rang De Basanti,A.R. Rahman,Bollywood,IN,2019,12,3164156,81,202100,0.591,0.446,0.543,103.0,0.307,-4.04,0.139,Hype,3.37
Ocean Eyes,Billie Eilish,Alt-Pop,US,2021,4,15358629,96,220737,0.586,0.462,0.295,95.3,0.189,-0.0,0.306,Melancholic,3.68
Bulleya,Pritam,Bollywood,IN,2020,7,3743659,79,159942,0.591,0.66,0.39,141.7,0.453,-9.5,0.228,Sad,2.67
HUMBLE,Kendrick Lamar,Hip-Hop,US,2023,11,5702437,90,193490,0.51,0.565,0.802,125.0,0.06,-7.66,0.355,Melancholic,3.22
Can't Feel My Face,The Weeknd,R&B/Pop,CA,2023,6,1974944,93,197156,0.669,0.286,0.606,116.4,0.269,-11.12,0.272,Melancholic,3.29
Happier Than Ever,Billie Eilish,Alt-Pop,US,2019,9,6374990,96,239940,0.348,0.761,0.551,103.7,0.218,-6.97,0.131,Hype,4.0
HUMBLE,Drake,Hip-Hop,CA,2019,5,9658177,92,245610,0.837,0.726,0.442,153.5,0.551,-10.77,0.165,Hype,4.09
bad guy,Billie Eilish,Alt-Pop,US,2021,9,5103034,87,204807,0.814,0.611,0.427,102.6,0.075,-16.25,0.543,Melancholic,3.41
After Hours,The Weeknd,R&B/Pop,CA,2018,2,7988729,78,283192,0.693,0.628,0.42,96.3,0.272,-6.11,0.036,Romantic,4.72
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2021,8,2700623,89,213161,0.443,0.275,0.42,121.1,0.267,-12.41,0.381,Romantic,3.55
Balam Pichkari,Vishal-Shekhar,Bollywood,IN,2019,7,2896331,81,236847,0.435,0.224,0.53,119.0,0.417,-6.56,0.059,Happy,3.95
Senorita,Vishal-Shekhar,Bollywood,IN,2021,5,10464195,68,260331,0.528,0.688,0.509,118.7,0.492,-14.48,0.142,Sad,4.34
Todo,Nucleya,Electronic,IN,2019,4,3194665,90,208326,0.682,0.806,0.238,94.0,0.211,-4.77,0.401,Chill,3.47
Jai Ho,A.R. Rahman,Bollywood,IN,2022,12,4149581,83,231243,0.847,0.44,0.334,93.1,0.198,-7.21,0.102,Happy,3.85
Circles,Post Malone,Hip-Hop/Pop,US,2018,10,4434937,91,187327,0.803,0.637,0.383,118.2,0.11,-10.97,0.118,Hype,3.12
Permission to Dance,BTS,K-Pop,KR,2019,1,1490645,90,181819,0.544,0.504,0.581,109.0,0.197,-6.94,0.22,Melancholic,3.03
Yellow,Coldplay,Rock/Pop,GB,2022,2,1074802,92,238029,0.497,0.539,0.868,106.0,0.44,-7.61,0.293,Romantic,3.97
Balam Pichkari,Vishal-Shekhar,Bollywood,IN,2022,4,2371701,71,204811,0.864,0.139,0.326,138.3,0.345,-7.39,0.062,Happy,3.41
Roja,Ilaiyaraaja,Bollywood,IN,2021,11,3839324,88,215540,0.628,0.355,0.56,139.9,0.262,-9.26,0.26,Motivational,3.59
Perfect,Ed Sheeran,Pop,GB,2023,12,7855339,82,211710,0.564,0.572,0.765,75.1,0.254,-4.49,0.059,Motivational,3.53
Therefore I Am,Billie Eilish,Alt-Pop,US,2021,3,6044050,82,232046,0.552,0.721,0.66,123.3,0.443,-5.32,0.248,Chill,3.87
Alright,Kendrick Lamar,Hip-Hop,US,2018,1,2784803,85,192584,0.601,0.696,0.862,93.7,0.416,-1.46,0.169,Hype,3.21
Mouna Ragam,Ilaiyaraaja,Bollywood,IN,2018,2,1875913,86,247877,0.275,0.501,0.556,100.0,0.181,-9.77,0.092,Romantic,4.13
Boy With Luv,BTS,K-Pop,KR,2019,6,1498654,84,207519,0.596,0.696,0.377,75.4,0.296,-7.01,0.01,Melancholic,3.46
Therefore I Am,Billie Eilish,Alt-Pop,US,2020,3,6440779,87,194018,0.932,0.349,0.339,134.9,0.571,-10.62,0.097,Hype,3.23
Naag,Nucleya,Electronic,IN,2022,11,3982123,86,209358,0.533,0.381,0.53,104.7,0.544,-5.87,0.167,Happy,3.49
Naag,Nucleya,Electronic,IN,2023,2,2621468,72,185692,0.505,0.534,0.353,127.6,0.245,-11.12,0.17,Energetic,3.09
Shape of You,Ed Sheeran,Pop,GB,2018,12,2787023,82,195517,0.756,0.645,0.583,101.8,0.085,-8.99,0.444,Energetic,3.26
Photograph,Ed Sheeran,Pop,GB,2022,4,14856955,89,242401,0.413,0.756,0.511,97.0,0.412,-6.79,0.089,Motivational,4.04
Dil Se,A.R. Rahman,Bollywood,IN,2022,8,5320002,73,204385,0.724,0.671,0.355,125.7,0.476,-2.96,0.11,Chill,3.41
Blinding Lights,The Weeknd,R&B/Pop,CA,2023,7,3979396,84,198995,0.731,0.521,0.563,92.1,0.491,-5.67,0.346,Chill,3.32
Blinding Lights,The Weeknd,R&B/Pop,CA,2020,3,2997691,82,225417,0.557,0.619,0.84,67.9,0.456,-7.82,0.096,Chill,3.76
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2022,12,5667097,86,236659,0.522,0.762,0.631,94.5,0.249,-4.93,0.071,Sad,3.94
Bass Rani,Nucleya,Electronic,IN,2018,2,5657644,84,244905,0.577,0.338,0.734,164.3,0.062,-4.9,0.05,Energetic,4.08
Bass Rani,Nucleya,Electronic,IN,2020,10,4713793,78,254372,0.775,0.694,0.73,116.2,0.184,-3.7,0.154,Energetic,4.24
Watermelon Sugar,Harry Styles,Pop,GB,2018,5,2995162,88,204170,0.49,0.429,0.543,136.3,0.417,-4.37,0.179,Motivational,3.4
Starboy,The Weeknd,R&B/Pop,CA,2019,11,1220180,84,183355,0.621,0.564,0.579,118.4,0.23,-7.3,0.066,Romantic,3.06
Raabta,Pritam,Bollywood,IN,2022,7,20519083,73,195430,0.281,0.519,0.529,129.6,0.352,-4.66,0.008,Energetic,3.26
Happier Than Ever,Billie Eilish,Alt-Pop,US,2019,7,10844986,81,202402,0.533,0.497,0.882,100.3,0.039,-0.88,0.103,Happy,3.37
Fix You,Coldplay,Rock/Pop,GB,2021,11,4319814,84,222277,0.558,0.357,0.451,84.1,0.133,-7.0,0.313,Romantic,3.7
Perfect,Ed Sheeran,Pop,GB,2023,2,2586857,79,172156,0.843,0.408,0.226,161.1,0.323,-12.84,0.147,Sad,2.87
Can't Feel My Face,The Weeknd,R&B/Pop,CA,2019,4,4085448,94,218403,0.436,0.745,0.395,132.1,0.389,3.48,0.306,Hype,3.64
Physical,Dua Lipa,Pop,GB,2019,4,4534960,95,205942,0.649,0.45,0.767,87.6,0.185,-9.37,0.193,Happy,3.43
Chaiyya Chaiyya,A.R. Rahman,Bollywood,IN,2020,5,6033439,86,192184,0.554,0.441,0.498,120.3,0.475,-6.75,0.316,Melancholic,3.2
Photograph,Ed Sheeran,Pop,GB,2023,9,3061013,86,180059,0.429,0.462,0.167,89.2,0.189,-9.77,0.12,Sad,3.0
Naag,Nucleya,Electronic,IN,2018,2,4465755,67,251091,0.483,0.306,0.397,99.1,0.607,-10.37,0.309,Chill,4.18
Viva la Vida,Coldplay,Rock/Pop,GB,2020,1,7157218,83,208033,0.645,0.557,0.65,122.3,0.323,-6.07,0.193,Melancholic,3.47
Nayagan,Ilaiyaraaja,Bollywood,IN,2020,12,1494439,56,167505,0.783,0.278,0.424,146.0,0.537,-1.75,0.16,Motivational,2.79
Golden,Harry Styles,Pop,GB,2022,2,4463353,74,164240,0.531,0.19,0.606,130.0,0.512,-8.33,0.149,Sad,2.74
Good Days,SZA,R&B,US,2020,1,9371666,96,169456,0.615,0.554,0.721,129.8,0.416,-9.66,0.231,Sad,2.82
Ek Villain,Arijit Singh,Bollywood,IN,2022,11,3906876,90,171056,0.853,0.274,0.626,164.0,0.221,-9.35,0.166,Romantic,2.85
Break My Heart,Dua Lipa,Pop,GB,2018,11,3692372,96,207508,0.792,0.58,0.458,102.2,0.249,-7.43,0.186,Motivational,3.46
Agni Natchathiram,Ilaiyaraaja,Bollywood,IN,2023,2,9484503,86,216964,0.535,0.769,0.657,123.8,0.308,-10.15,0.026,Chill,3.62
Boy With Luv,BTS,K-Pop,KR,2023,7,6252595,100,214512,0.566,0.844,0.48,84.4,0.308,-5.1,0.011,Motivational,3.58
Senorita,Vishal-Shekhar,Bollywood,IN,2022,3,6953316,68,233378,0.632,0.86,0.376,108.7,0.209,-9.17,0.207,Romantic,3.89
Sign of the Times,Harry Styles,Pop,GB,2023,12,5585487,97,241575,0.822,0.758,0.203,136.1,0.078,-9.13,0.123,Energetic,4.03
Mouna Ragam,Ilaiyaraaja,Bollywood,IN,2020,7,3840798,61,185752,0.461,0.851,0.403,131.3,0.163,-4.02,0.136,Happy,3.1
Barso Re,Shreya Ghoshal,Bollywood,IN,2019,7,3077561,81,193250,0.358,0.942,0.605,149.8,0.087,-5.75,0.081,Motivational,3.22
Money Trees,Kendrick Lamar,Hip-Hop,US,2021,11,6357916,87,194218,0.221,0.654,0.558,144.7,0.296,-9.74,0.076,Romantic,3.24
DNA,BTS,K-Pop,KR,2023,3,11527391,84,193925,0.48,0.374,0.455,107.1,0.196,-7.39,0.04,Melancholic,3.23
Dola Re Dola,Shreya Ghoshal,Bollywood,IN,2023,11,1318871,70,182114,0.55,0.618,0.358,106.0,0.133,-3.13,0.317,Motivational,3.04
Shake It Off,Taylor Swift,Pop,US,2023,5,2675102,85,240529,0.694,0.739,0.75,82.3,0.473,-7.58,0.103,Romantic,4.01
Kun Faya Kun,A.R. Rahman,Bollywood,IN,2018,1,3498837,83,161802,0.63,0.472,0.483,116.5,0.09,-4.01,0.165,Romantic,2.7
Blue Jeans,Lana Del Rey,Indie-Pop,US,2018,8,2058323,78,236074,0.743,0.781,0.391,132.1,0.069,-0.53,0.075,Sad,3.93
Good Days,SZA,R&B,US,2023,12,4013736,69,152409,0.733,0.326,0.5,135.4,0.392,-6.35,0.058,Sad,2.54
Born To Die,Lana Del Rey,Indie-Pop,US,2019,3,1700657,64,224455,0.832,0.253,0.123,136.6,0.271,-5.84,0.076,Happy,3.74
Bulleya,Pritam,Bollywood,IN,2019,3,7924660,80,237553,0.471,0.693,0.722,87.7,0.174,-5.94,0.042,Hype,3.96
After Hours,The Weeknd,R&B/Pop,CA,2019,2,6329788,84,130927,0.56,0.819,0.445,89.7,0.44,1.67,0.062,Hype,2.18
HUMBLE,Drake,Hip-Hop,CA,2023,9,6128017,96,262758,0.622,0.778,0.379,117.1,0.298,-4.21,0.07,Motivational,4.38
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2023,9,5849266,71,190939,0.517,0.327,0.662,164.4,0.291,-5.9,0.263,Sad,3.18
Todo,Nucleya,Electronic,IN,2019,12,5586467,79,184167,0.679,0.549,0.574,95.3,0.44,-4.23,0.057,Hype,3.07
Alright,Kendrick Lamar,Hip-Hop,US,2019,11,8132397,87,182767,0.641,0.635,0.626,104.6,0.505,-5.57,0.271,Chill,3.05
DNA,BTS,K-Pop,KR,2023,4,6647756,100,163055,0.683,0.431,0.503,134.6,0.367,-9.26,0.133,Chill,2.72
HUMBLE,Kendrick Lamar,Hip-Hop,US,2023,5,2333006,95,228662,0.629,0.575,0.776,133.5,0.255,-14.85,0.234,Romantic,3.81
Photograph,Ed Sheeran,Pop,GB,2020,9,3198348,87,245685,0.512,0.693,0.345,98.6,0.359,-5.67,0.27,Melancholic,4.09
One Dance,Drake,Hip-Hop,CA,2019,7,2790812,93,301858,0.549,0.49,0.39,125.3,0.322,-10.32,0.161,Energetic,5.03
Jai Ho,A.R. Rahman,Bollywood,IN,2021,7,3299306,80,220292,0.696,0.503,0.273,112.7,0.073,-11.05,0.084,Motivational,3.67
Todo,Nucleya,Electronic,IN,2021,1,2994708,64,219961,0.766,0.309,0.706,86.6,0.392,-10.42,0.094,Romantic,3.67
Sign of the Times,Harry Styles,Pop,GB,2022,12,7873509,97,197576,0.748,0.682,0.59,109.9,0.405,-6.58,0.017,Happy,3.29
Love Galore,SZA,R&B,US,2021,1,1279518,82,235913,0.47,0.568,0.585,110.3,0.172,-8.31,0.155,Motivational,3.93
Tujh Mein Rab Dikhta Hai,Shreya Ghoshal,Bollywood,IN,2021,9,2633705,69,199180,0.62,0.929,0.563,103.3,0.187,-7.66,0.043,Romantic,3.32
Young and Beautiful,Lana Del Rey,Indie-Pop,US,2020,7,3270260,86,176699,0.798,0.489,0.689,83.8,0.27,-6.35,0.073,Hype,2.94
Phir Bhi Tumko Chaahunga,Arijit Singh,Bollywood,IN,2020,11,3689604,99,219750,0.488,0.75,0.695,116.6,0.321,-11.6,0.347,Sad,3.66
A Sky Full of Stars,Coldplay,Rock/Pop,GB,2019,10,9018198,92,241151,0.714,0.677,0.624,93.9,0.3,-17.97,0.435,Happy,4.02
Haare Re,Vishal-Shekhar,Bollywood,IN,2022,11,4925798,81,226982,0.819,0.62,0.395,94.8,0.174,-4.77,0.014,Happy,3.78
Blank Space,Taylor Swift,Pop,US,2019,8,8463787,94,247543,0.706,0.564,0.344,121.3,0.162,-8.24,0.204,Energetic,4.13
Starboy,The Weeknd,R&B/Pop,CA,2021,6,3960325,94,266630,0.853,0.758,0.523,84.6,0.305,-10.27,0.004,Romantic,4.44
Alright,Kendrick Lamar,Hip-Hop,US,2020,7,4798917,90,194584,0.543,0.693,0.684,113.2,0.113,-8.68,0.013,Chill,3.24
Adore You,Harry Styles,Pop,GB,2018,8,1495292,79,244720,0.875,0.54,0.683,125.1,0.344,-2.7,0.298,Happy,4.08
Bass Rani,Nucleya,Electronic,IN,2020,4,12683699,88,194921,0.563,0.391,0.664,132.8,0.057,-6.03,0.4,Melancholic,3.25
Blinding Lights,The Weeknd,R&B/Pop,CA,2019,4,4054722,100,212203,0.708,0.805,0.758,111.8,0.545,-10.44,0.079,Happy,3.54
Thalapathi Theme,Ilaiyaraaja,Bollywood,IN,2019,3,3820159,88,194781,0.583,0.544,0.268,125.6,0.183,-11.07,0.084,Hype,3.25
Kabira,Pritam,Bollywood,IN,2019,8,3908210,84,192275,0.714,0.925,0.654,120.4,0.288,-10.32,0.034,Chill,3.2
Don't Start Now,Dua Lipa,Pop,GB,2022,10,12123759,87,184214,0.83,0.45,0.774,109.7,0.539,-2.84,0.102,Melancholic,3.07
Fix You,Coldplay,Rock/Pop,GB,2018,10,9428616,89,241583,0.381,0.394,0.173,127.4,0.451,-5.18,0.05,Happy,4.03
Dola Re Dola,Shreya Ghoshal,Bollywood,IN,2023,7,7429536,78,260653,0.672,0.781,0.785,141.6,0.409,-3.13,0.094,Sad,4.34
Jai Ho,A.R. Rahman,Bollywood,IN,2022,12,3638115,80,212276,0.792,0.576,0.855,141.3,0.134,-0.84,0.132,Romantic,3.54
Raabta,Pritam,Bollywood,IN,2023,10,4242264,83,217577,0.838,0.852,0.337,109.7,0.41,-2.76,0.148,Melancholic,3.63
Kill Bill,SZA,R&B,US,2020,9,25130373,88,212974,0.785,0.806,0.28,63.3,0.126,-3.28,0.25,Sad,3.55
Levitating,Dua Lipa,Pop,GB,2022,11,12227885,78,231086,0.632,0.478,0.735,111.5,0.232,-10.94,0.056,Motivational,3.85
Phir Bhi Tumko Chaahunga,Arijit Singh,Bollywood,IN,2021,2,20522680,97,229720,0.477,0.373,0.121,130.6,0.089,-14.59,0.306,Sad,3.83
Break My Heart,Dua Lipa,Pop,GB,2023,3,12061593,95,192628,0.457,0.468,0.79,102.9,0.1,-9.34,0.144,Sad,3.21
Viva la Vida,Coldplay,Rock/Pop,GB,2023,5,4609057,89,174141,0.556,0.696,0.61,142.3,0.174,-10.27,0.027,Hype,2.9
Money Trees,Kendrick Lamar,Hip-Hop,US,2023,10,2346433,100,225167,0.77,0.579,0.545,100.1,0.353,-0.34,0.059,Chill,3.75
Rockstar,Post Malone,Hip-Hop/Pop,US,2018,5,10612869,76,213949,0.767,0.444,0.524,148.5,0.389,-7.32,0.169,Hype,3.57
Ocean Eyes,Billie Eilish,Alt-Pop,US,2022,10,10021465,78,226626,0.417,0.434,0.434,65.7,0.212,-11.6,0.184,Sad,3.78
Circles,Post Malone,Hip-Hop/Pop,US,2021,6,5133547,91,273110,0.753,0.542,0.218,71.7,0.059,-7.11,0.251,Energetic,4.55
Young and Beautiful,Lana Del Rey,Indie-Pop,US,2020,5,5349151,62,241205,0.187,0.381,0.743,104.9,0.27,-13.62,0.157,Motivational,4.02
Castle on the Hill,Ed Sheeran,Pop,GB,2023,5,2441257,85,143698,0.844,0.809,0.642,94.9,0.096,-12.39,0.173,Happy,2.39
Butter,BTS,K-Pop,KR,2018,4,1806972,88,223012,0.476,0.262,0.883,118.0,0.183,-7.07,0.056,Sad,3.72
Blue Jeans,Lana Del Rey,Indie-Pop,US,2019,12,968495,79,208855,0.61,0.735,0.834,124.3,0.233,-12.95,0.367,Hype,3.48
Born To Die,Lana Del Rey,Indie-Pop,US,2018,2,2442654,64,163107,0.616,0.427,0.54,132.3,0.186,-8.3,0.098,Chill,2.72
Ocean Eyes,Billie Eilish,Alt-Pop,US,2023,4,6889486,79,233753,0.866,0.551,0.712,111.7,0.212,-9.91,0.019,Chill,3.9
Snooze,SZA,R&B,US,2021,9,2957997,90,190851,0.637,0.553,0.527,109.7,0.331,-5.57,0.162,Motivational,3.18
Golden,Harry Styles,Pop,GB,2020,6,5418322,100,178609,0.587,0.456,0.31,125.5,0.406,-5.56,0.094,Hype,2.98
Photograph,Ed Sheeran,Pop,GB,2020,4,3796437,86,241499,0.716,0.36,0.5,128.4,0.319,-8.6,0.149,Melancholic,4.02
Dil Se,A.R. Rahman,Bollywood,IN,2018,12,5037282,82,168437,0.73,0.556,0.464,71.1,0.187,-6.75,0.142,Energetic,2.81
Kun Faya Kun,A.R. Rahman,Bollywood,IN,2023,8,5262604,67,195456,0.291,0.375,0.496,87.0,0.266,-5.68,0.162,Chill,3.26
Broken Clocks,SZA,R&B,US,2022,5,2458080,84,172995,0.539,0.451,0.413,162.9,0.139,-6.63,0.032,Melancholic,2.88
Dil Se,A.R. Rahman,Bollywood,IN,2019,6,3396470,87,240054,0.742,0.434,0.188,111.4,0.036,-8.03,0.136,Energetic,4.0
Teri Meri,Shreya Ghoshal,Bollywood,IN,2023,9,4875898,71,183442,0.484,0.706,0.553,114.4,0.39,-12.62,0.034,Energetic,3.06
Shape of You,Ed Sheeran,Pop,GB,2018,9,1467245,88,229649,0.693,0.486,0.506,127.1,0.321,-8.9,0.111,Chill,3.83
HUMBLE,Drake,Hip-Hop,CA,2018,1,2290535,85,224626,0.686,0.864,0.611,104.5,0.105,-1.64,0.301,Chill,3.74
Born To Die,Lana Del Rey,Indie-Pop,US,2021,6,5369218,70,248881,0.683,0.779,0.343,112.2,0.282,-6.38,0.239,Energetic,4.15
Starboy,The Weeknd,R&B/Pop,CA,2021,2,2790074,100,165692,0.388,0.653,0.268,77.4,0.177,-17.65,0.115,Melancholic,2.76
Sajdaa,Vishal-Shekhar,Bollywood,IN,2018,10,1245688,68,198208,0.71,0.693,0.724,160.7,0.643,-12.45,0.162,Happy,3.3
One Dance,Drake,Hip-Hop,CA,2022,5,5114237,100,226449,0.732,0.791,0.566,132.8,0.728,-4.48,0.127,Melancholic,3.77
bad guy,Billie Eilish,Alt-Pop,US,2022,7,1094510,84,197633,0.71,0.749,0.659,129.5,0.271,-10.06,0.161,Romantic,3.29
DNA,BTS,K-Pop,KR,2021,8,3100601,87,284549,0.793,0.37,0.447,94.9,0.099,-12.44,0.081,Chill,4.74
Love Galore,SZA,R&B,US,2020,10,5587900,77,158936,0.716,0.811,0.62,115.7,0.514,-5.85,0.208,Happy,2.65
Roja,Ilaiyaraaja,Bollywood,IN,2019,11,2741619,69,257261,0.777,0.615,0.489,116.1,0.332,-8.47,0.036,Romantic,4.29
Shape of You,Ed Sheeran,Pop,GB,2019,4,3278211,94,274454,0.786,0.682,0.588,97.3,0.278,-6.12,0.187,Energetic,4.57
Bass Rani,Nucleya,Electronic,IN,2019,1,2312561,76,194962,0.675,0.758,0.603,141.2,0.138,-7.83,0.122,Sad,3.25
Swimming Pools,Kendrick Lamar,Hip-Hop,US,2021,5,3596857,84,254141,0.588,0.579,0.363,121.7,0.339,-6.72,0.209,Happy,4.24
Therefore I Am,Billie Eilish,Alt-Pop,US,2023,5,8258240,94,205153,0.383,0.718,0.526,100.9,0.054,-8.01,0.116,Hype,3.42
Shake It Off,Taylor Swift,Pop,US,2020,11,4984079,85,190937,0.667,0.936,0.441,119.5,0.221,-12.82,0.064,Romantic,3.18
As It Was,Harry Styles,Pop,GB,2022,4,5673280,86,216692,0.748,0.698,0.475,102.3,0.215,-12.15,0.074,Energetic,3.61
Perfect,Ed Sheeran,Pop,GB,2018,1,2588809,85,239469,0.783,0.428,0.66,132.9,0.727,-5.5,0.014,Energetic,3.99
Dola Re Dola,Shreya Ghoshal,Bollywood,IN,2023,10,4280642,68,203843,0.631,0.312,0.189,130.3,0.395,-0.54,0.43,Chill,3.4
HUMBLE,Kendrick Lamar,Hip-Hop,US,2021,12,5995540,96,164366,0.409,0.79,0.713,125.8,0.541,-5.05,0.015,Chill,2.74
Senorita,Vishal-Shekhar,Bollywood,IN,2022,9,4708355,51,212156,0.656,0.562,0.552,111.7,0.262,-14.11,0.113,Hype,3.54
